Date,X_00060_00003,X_99133_00003
11/5/13,20.2,6.07
11/6/13,32,6.24
11/7/13,28.4,7.55
11/8/13,33.6,9.75
11/9/13,27.7,9.99
11/10/13,22.3,9.35
11/11/13,19.5,11.1
11/12/13,16,10.7
11/13/13,16.2,8.78
11/14/13,16.8,5.83
11/15/13,19.7,6.04
11/16/13,18.9,7.19
11/17/13,18.8,7.93
11/18/13,20.7,8.46
3/20/14,81.2,4.15
3/21/14,77.3,3.62
3/27/14,58.8,4.83
3/28/14,51.1,5.02
3/29/14,39.8,5.27
3/30/14,38.7,5.48
3/31/14,40.1,4.7
4/1/14,39,4.66
4/2/14,40.8,4.67
4/3/14,36.5,4.23
4/4/14,34.7,3.63
4/5/14,36.2,3.14
4/6/14,33.6,3.02
4/7/14,33.7,3.3
4/8/14,34.6,3.46
4/9/14,33.9,3.97
4/10/14,32.3,3.41
4/11/14,28.5,2.95
4/12/14,26.4,2.58
4/13/14,36.1,2.2
4/14/14,43,2.04
4/15/14,38.9,2.36
4/16/14,36.5,2.86
4/17/14,30.3,3.34
4/18/14,27.4,3.47
4/19/14,26.2,2.89
4/20/14,27,2.68
4/21/14,36.6,2.6
4/22/14,41.7,2.27
4/23/14,47.4,1.56
4/24/14,40.9,1.83
4/25/14,37.1,1.93
4/26/14,46,1.8
4/27/14,51.3,2.4
4/28/14,66.5,2.34
4/29/14,72.7,2.07
4/30/14,80.6,3.33
5/1/14,91.5,3.62
5/2/14,85.1,4.18
5/3/14,79,4.32
5/4/14,69.5,4.34
5/6/14,52.3,3.77
5/7/14,45.7,3.43
5/8/14,48.7,2.49
5/9/14,42.9,2.43
5/10/14,40.6,1.74
5/11/14,43.8,1.92
5/12/14,259,2.7
5/13/14,664,11.8
5/14/14,404,15.1
5/15/14,258,15.1
5/16/14,192,14.3
5/17/14,155,13.5
5/18/14,128,12.6
5/19/14,115,11.5
5/20/14,106,10.5
5/21/14,94.9,9.62
5/22/14,81.4,8.36
5/23/14,72.9,7.12
5/24/14,67.2,6.25
5/25/14,63.2,5.63
5/26/14,61.1,5.16
5/27/14,59.9,4.76
